threshold,contacts,successful,wasted,missed,expected_value_eur,ev_per_contact_eur,precision,recall
0.01,8214,927,7287,1,70170.0,8.542731921110299,0.11285609934258582,0.9989224137931034
0.02,8185,927,7258,1,70315.0,8.590714722052535,0.11325595601710446,0.9989224137931034
0.03,7680,908,6772,20,70560.0,9.1875,0.11822916666666666,0.978448275862069
0.04,5991,857,5134,71,72885.0,12.165748622934402,0.14304790519112,0.9234913793103449
0.05,4721,820,3901,108,74795.0,15.843041728447362,0.17369201440372803,0.8836206896551724
0.060000000000000005,3657,756,2901,172,72435.0,19.807219031993437,0.20672682526661199,0.8146551724137931
0.06999999999999999,2604,695,1909,233,70380.0,27.027649769585253,0.26689708141321045,0.7489224137931034
0.08,1909,643,1266,285,67615.0,35.41906757464641,0.3368255631220534,0.6928879310344828
0.09,1704,629,1075,299,66960.0,39.29577464788732,0.36913145539906106,0.677801724137931
0.09999999999999999,1580,615,965,313,65900.0,41.70886075949367,0.38924050632911394,0.6627155172413793
0.11,1491,610,881,318,65745.0,44.094567404426556,0.409121395036888,0.6573275862068966
0.12,1424,602,822,326,65120.0,45.73033707865169,0.42275280898876405,0.6487068965517241
0.13,1387,597,790,331,64705.0,46.65104542177361,0.4304253785147801,0.6433189655172413
0.14,1350,592,758,336,64290.0,47.62222222222222,0.43851851851851853,0.6379310344827587
0.15000000000000002,1329,588,741,340,63915.0,48.09255079006772,0.44243792325056436,0.6336206896551724
0.16,1315,585,730,343,63625.0,48.38403041825095,0.4448669201520912,0.6303879310344828
0.17,1292,585,707,343,63740.0,49.3343653250774,0.45278637770897834,0.6303879310344828
0.18000000000000002,1268,581,687,347,63380.0,49.98422712933754,0.4582018927444795,0.6260775862068966
0.19,1248,575,673,353,62760.0,50.28846153846154,0.46073717948717946,0.6196120689655172
0.2,1231,569,662,359,62125.0,50.46709991876523,0.46222583265637696,0.6131465517241379
0.21000000000000002,1214,562,652,366,61370.0,50.551894563426686,0.46293245469522243,0.6056034482758621
0.22,1198,559,639,369,61090.0,50.99332220367279,0.4666110183639399,0.6023706896551724
0.23,1182,555,627,373,60690.0,51.34517766497462,0.46954314720812185,0.5980603448275862
0.24000000000000002,1158,551,607,377,60330.0,52.09844559585492,0.4758203799654577,0.59375
0.25,1148,548,600,380,60020.0,52.282229965156795,0.47735191637630664,0.5905172413793104
0.26,1131,545,586,383,59745.0,52.824933687002655,0.4818744473916888,0.5872844827586207
0.27,1113,538,575,390,58995.0,53.00539083557951,0.4833782569631626,0.5797413793103449
0.28,1095,533,562,395,58485.0,53.41095890410959,0.4867579908675799,0.5743534482758621
0.29000000000000004,1043,518,525,410,56945.0,54.59731543624161,0.4966442953020134,0.5581896551724138
0.3,979,500,479,428,55105.0,56.28702757916241,0.5107252298263534,0.5387931034482759
0.31,936,483,453,445,53280.0,56.92307692307692,0.5160256410256411,0.5204741379310345
0.32,896,468,428,460,51680.0,57.67857142857143,0.5223214285714286,0.5043103448275862
0.33,856,454,402,474,50200.0,58.64485981308411,0.530373831775701,0.4892241379310345
0.34,813,437,376,491,48375.0,59.50184501845018,0.5375153751537516,0.4709051724137931
0.35000000000000003,775,419,356,509,46405.0,59.87741935483871,0.5406451612903226,0.4515086206896552
0.36000000000000004,728,400,328,528,44360.0,60.934065934065934,0.5494505494505495,0.43103448275862066
0.37,645,374,271,554,41655.0,64.5813953488372,0.57984496124031,0.40301724137931033
0.38,590,353,237,575,39410.0,66.79661016949153,0.5983050847457627,0.38038793103448276
0.39,562,338,224,590,37750.0,67.17081850533808,0.6014234875444839,0.3642241379310345
0.4,534,329,205,599,36810.0,68.93258426966293,0.6161048689138576,0.3545258620689655
0.41000000000000003,522,325,197,603,36390.0,69.71264367816092,0.6226053639846744,0.35021551724137934
0.42000000000000004,487,309,178,619,34645.0,71.13963039014374,0.6344969199178645,0.3329741379310345
0.43,471,303,168,625,34005.0,72.19745222929936,0.643312101910828,0.3265086206896552
0.44,455,299,156,629,33605.0,73.85714285714286,0.6571428571428571,0.32219827586206895
0.45,427,280,147,648,31465.0,73.68852459016394,0.6557377049180327,0.3017241379310345
0.46,406,268,138,660,30130.0,74.21182266009852,0.6600985221674877,0.28879310344827586
0.47000000000000003,387,258,129,670,29025.0,75.0,0.6666666666666666,0.27801724137931033
0.48000000000000004,370,250,120,678,28150.0,76.08108108108108,0.6756756756756757,0.26939655172413796
0.49,360,245,115,683,27600.0,76.66666666666667,0.6805555555555556,0.2640086206896552
0.5,356,242,114,686,27260.0,76.57303370786516,0.6797752808988764,0.2607758620689655
0.51,346,233,113,695,26230.0,75.8092485549133,0.6734104046242775,0.2510775862068966
0.52,339,229,110,699,25785.0,76.06194690265487,0.6755162241887905,0.24676724137931033
0.53,326,227,99,701,25610.0,78.55828220858896,0.696319018404908,0.24461206896551724
0.54,309,215,94,713,24255.0,78.49514563106796,0.6957928802588996,0.23168103448275862
0.55,304,213,91,715,24040.0,79.07894736842105,0.7006578947368421,0.22952586206896552
0.56,294,207,87,721,23370.0,79.48979591836735,0.7040816326530612,0.22306034482758622
0.5700000000000001,288,205,83,723,23160.0,80.41666666666667,0.7118055555555556,0.2209051724137931
0.5800000000000001,246,181,65,747,20490.0,83.29268292682927,0.7357723577235772,0.19504310344827586
0.59,213,158,55,770,17895.0,84.01408450704226,0.7417840375586855,0.17025862068965517
0.6,193,146,47,782,16555.0,85.77720207253886,0.7564766839378239,0.15732758620689655
0.61,186,141,45,787,15990.0,85.96774193548387,0.7580645161290323,0.15193965517241378
0.62,186,141,45,787,15990.0,85.96774193548387,0.7580645161290323,0.15193965517241378
0.63,157,124,33,804,14095.0,89.77707006369427,0.7898089171974523,0.1336206896551724
0.64,144,114,30,814,12960.0,90.0,0.7916666666666666,0.12284482758620689
0.65,136,108,28,820,12280.0,90.29411764705883,0.7941176470588235,0.11637931034482758
0.66,132,105,27,823,11940.0,90.45454545454545,0.7954545454545454,0.11314655172413793
0.67,127,103,24,825,11725.0,92.32283464566929,0.8110236220472441,0.11099137931034483
0.68,122,99,23,829,11270.0,92.37704918032787,0.8114754098360656,0.10668103448275862
0.6900000000000001,117,95,22,833,10815.0,92.43589743589743,0.811965811965812,0.10237068965517242
0.7000000000000001,112,91,21,837,10360.0,92.5,0.8125,0.0980603448275862
0.7100000000000001,109,88,21,840,10015.0,91.88073394495413,0.8073394495412844,0.09482758620689655
0.72,107,87,20,841,9905.0,92.57009345794393,0.8130841121495327,0.09375
0.73,93,76,17,852,8655.0,93.06451612903226,0.8172043010752689,0.08189655172413793
0.74,93,76,17,852,8655.0,93.06451612903226,0.8172043010752689,0.08189655172413793
0.75,81,67,14,861,7635.0,94.25925925925925,0.8271604938271605,0.07219827586206896
0.76,79,65,14,863,7405.0,93.73417721518987,0.8227848101265823,0.07004310344827586
0.77,74,61,13,867,6950.0,93.91891891891892,0.8243243243243243,0.06573275862068965
0.78,73,60,13,868,6835.0,93.63013698630137,0.821917808219178,0.06465517241379311
0.79,69,56,13,872,6375.0,92.3913043478261,0.8115942028985508,0.0603448275862069
0.8,64,51,13,877,5800.0,90.625,0.796875,0.05495689655172414
0.81,60,49,11,879,5580.0,93.0,0.8166666666666667,0.052801724137931036
0.8200000000000001,59,48,11,880,5465.0,92.62711864406779,0.8135593220338984,0.05172413793103448
0.8300000000000001,52,43,9,885,4900.0,94.23076923076923,0.8269230769230769,0.04633620689655173
0.8400000000000001,43,35,8,893,3985.0,92.67441860465117,0.813953488372093,0.03771551724137931
0.85,39,33,6,895,3765.0,96.53846153846153,0.8461538461538461,0.03556034482758621
0.86,36,30,6,898,3420.0,95.0,0.8333333333333334,0.032327586206896554
0.87,29,25,4,903,2855.0,98.44827586206897,0.8620689655172413,0.02693965517241379
0.88,24,21,3,907,2400.0,100.0,0.875,0.022629310344827586
0.89,18,15,3,913,1710.0,95.0,0.8333333333333334,0.016163793103448277
0.9,8,6,2,922,680.0,85.0,0.75,0.00646551724137931
0.91,6,4,2,924,450.0,75.0,0.6666666666666666,0.004310344827586207
0.92,6,4,2,924,450.0,75.0,0.6666666666666666,0.004310344827586207
0.93,4,4,0,924,460.0,115.0,1.0,0.004310344827586207
0.9400000000000001,3,3,0,925,345.0,115.0,1.0,0.003232758620689655
0.9500000000000001,0,0,0,928,0.0,0.0,0.0,0.0
0.9600000000000001,0,0,0,928,0.0,0.0,0.0,0.0
0.97,0,0,0,928,0.0,0.0,0.0,0.0
0.98,0,0,0,928,0.0,0.0,0.0,0.0
0.99,0,0,0,928,0.0,0.0,0.0,0.0
